OBJECTID,Site_Name,DNO_Area,Substation_ID,Site_Type,Transformer_Rating__kVA_,Firm_Capacity__MVA_,Customer_Numbers,Site_Level,Three_Phase_,Primary_Voltage__kV_,Secondary_Voltage__kV_,Maximum_Demand__kW_,Upstream_Substation,Postcode,Postcodes_Fed,Postal_Sectors_Fed,Eastings,Northings,slope,slope_dimensionless,class,mannings,df_class,rofrs_0_2m,rofrs_0_3m,rofrs_0_6m,rofrs_0_9m,rofrs_1_2m,rofsw_0_2m,rofsw_0_3m,rofsw_0_6m,rofsw_0_9m,rofsw_1_2m,rofrs_high,rofrs_med,rofrs_low,rofsw_high,rofsw_med,rofsw_low,rof_high,rof_med,rof_low,velocity_high,velocity_med,velocity_low,df_high,df_med,df_low,hazard_high,hazard_med,hazard_low,degree_high,degree_med,degree_low
2093,WITTON PARK SEWAGE,North East,6.50176E+11,Ground Mounted,315,Not Applicable,≤5,Distribution,Yes,20,0.4,Redacted,TORONTO 66/20KV,DL15 8AU,Redacted,Not Applicable,417749,531123,1.25720048,0.02194581,Suburban,0.013,Urban,Low,Very low,Very low,Very low,Very low,,,,,,0,0,0.2,0,0,0,0,0,0.2,0,0,3.897197821,0,0,0,0,0,0.879439564,,,Moderate
649,CRANE ROW,North East,5.32876E+11,Pole Mounted,50,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,TORONTO 66/20KV,DL13 3QS,Redacted,Not Applicable,409268,527628,1.236414433,0.021582853,Broadleaved woodland,0.1,Woodland,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2455,EMBLETON MURTON,North East,5.21214E+11,Pole Mounted,25,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,HARTMOOR 66/20KV,TS28 5NU,Redacted,Not Applicable,441385,531720,1.229410172,0.021460549,Improved grassland,0.04,Pasture/Arable,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3963,STANLEY LILAC,North East,4.9513E+11,Ground Mounted,500,Not Applicable,243,Distribution,Yes,11,0.4,237.5,TANFIELD,NE16 6QF,"NE16 6PU, NE16 6QE, NE16 6PZ, NE16 6PT, NE16 6QA, NE16 6HG, NE16 6QG, NE16 6QB, NE16 6PJ, NE16 6ES, NE16 6QF, NE16 6LX, NE16 6QD, NE16 6QN, NE16 6QQ",Not Applicable,417554,556754,1.22322309,0.021352515,Suburban,0.013,Urban,,,,,,High,Very low,Very low,Very low,Very low,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,3.844157373,3.844157373,3.844157373,0,0,0,0.868831475,0.868831475,0.868831475,Moderate,Moderate,Moderate
1250,RUSHYFORD HOTEL,North East,48323127585,Ground Mounted,300,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,TORONTO 66/20KV,DL17 0LL,Redacted,Not Applicable,428240,528785,1.201869249,0.020979653,Suburban,0.013,Urban,,,,,,Medium,Very low,Very low,Very low,Very low,0,0,0,0,0.2,0.2,0,0.2,0.2,0,3.81044584,3.81044584,0,0,0,0,0.862089168,0.862089168,,Moderate,Moderate
1581,BOND ISLE,North East,4.11918E+11,Ground Mounted,500,Not Applicable,160,Distribution,Yes,20,0.4,128.4,EASTGATE CEMENT,DL13 2YT,"DL13 2XF, DL13 2XQ, DL13 2YT, DL13 2XG, DL13 2XH, DL13 2XR, DL13 2UY, DL13 2YU, DL13 2TZ, DL13 2XL, DL13 2XN, DL13 2XE, DL13 2UD, DL13 2XW, DL13 2QS, DL13 2XP, DL13 2UB, DL13 2XJ, DL13 2UE",Not Applicable,399905,538856,1.198721886,0.020924697,Suburban,0.013,Urban,Low,Very low,Very low,Very low,Very low,,,,,,0,0,0.2,0,0,0,0,0,0.2,0,0,3.805451857,0,0,0,0,0,0.861090371,,,Moderate
470,AUCKLAND TRADING,North East,7.67551E+11,Ground Mounted,1000,Not Applicable,192,Distribution,Yes,11,0.4,194.9,FYLANDS BRIDGE,DL14 9AD,"DL14 9AZ, DL14 9BB, DL14 9BJ, DL14 9BP, DL14 9BD, DL14 9GG, DL14 9BW, DL14 9GA, DL14 9JH, DL14 9BQ, DL14 9AD, DL14 9BH",Not Applicable,419382,526900,1.184276819,0.020672474,Suburban,0.013,Urban,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,3.782447161,0,0,0,0,0,0.856489432,,,Moderate
3322,PLAWSWORTH APARTMENTS,North East,9.24948E+11,Pole Mounted,200,Not Applicable,≤5,Distribution,Yes,20,0.4,Redacted,POTTER HOUSE T1 T3,DH2 3LD,Redacted,Not Applicable,426526,548008,1.183455586,0.020658134,Suburban,0.013,Urban,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,3.781135098,0,0,0,0,0,0.85622702,,,Moderate
2394,PIT HOUSE LANE,North East,7.2472E+11,Pole Mounted,200,Not Applicable,21,Distribution,Unknown,11,0.4,98.5,POTTER HOUSE T1 T3,DH4 6QF,"DH4 6QJ, DH4 4LB, DH4 4JL, DH4 6QH, DH4 6QQ, DH4 6QT",Not Applicable,431039,547317,1.178645611,0.020574149,Improved grassland,0.04,Pasture/Arable,,,,,,Low,Low,Low,Very low,Very low,0,0,0,0,0,0.6,0,0,0.6,0,0,2.55094903,0,0,0.5,0,0,2.330569418,,,Significant
4037,STELLA GILL,North East,3.85434E+11,Pole Mounted,100,Not Applicable,≤5,Distribution,Unknown,11,0.4,Redacted,HIGH FLATTS,DH2 2RH,Redacted,Not Applicable,425909,552293,1.173037767,0.020476232,Arable and horticulture,0.03,Pasture/Arable,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,1.631262176,0,0,0,0,0,0.426252435,,,Low
1798,BROADGATE PUMPS,North East,9.42104E+11,Pole Mounted,50,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,BRANCEPETH,DH7 9QE,Redacted,Not Applicable,421319,542762,1.168513417,0.020397235,Broadleaved woodland,0.1,Woodland,Low,Very low,Very low,Very low,Very low,,,,,,0,0,0.2,0,0,0,0,0,0.2,0,0,0.488433723,0,0,0,0,0,0.197686745,,,Low
4117,PELAW BANK NORTH,North East,7.62376E+11,Ground Mounted,300,Not Applicable,283,Distribution,Yes,11,0.4,213.4,BIRTLEY GROVE 66/11KV,DH2 2HH,"DH2 2HQ, DH2 2HU, DH2 2HJ, DH2 2HW, DH2 2HN, DH2 2HF, DH2 2HH, DH2 2HG, DH2 2HE, DH2 2HL",Not Applicable,426956,552487,1.150591373,0.020084308,Suburban,0.013,Urban,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,3.728250441,0,0,0,0,0,0.845650088,,,Moderate
3942,BLAIR TANFIELD,North East,2.87032E+11,Ground Mounted,1000,Not Applicable,6,Distribution,Yes,11,0.4,297.6,TANFIELD,DH9 9NX,"DH9 9UU, DH9 9XA, DH9 9NX",Not Applicable,419009,554519,1.145240903,0.019990887,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
954,COCKFIELD INDUSTRIAL,North East,4.46522E+11,Pole Mounted,100,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,TORONTO 66/20KV,DL13 5BJ,Redacted,Not Applicable,413085,524308,1.113446355,0.019435752,Improved grassland,0.04,Pasture/Arable,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,1.191957241,0,0,0,0,0,0.338391448,,,Low
2427,CROXDALE MOTEL,North East,5.54563E+11,Pole Mounted,100,Not Applicable,≤5,Distribution,Yes,20,0.4,Redacted,SPENNYMOOR 66/20KV,DH1 3SP,Redacted,Not Applicable,426700,538010,1.111913323,0.019408985,Suburban,0.013,Urban,High,High,High,High,Medium,,,,,,0.9,1.2,1.2,0,0,0,0.9,1.2,1.2,9.989714292,12.10167704,12.10167704,1,1,1,10.44074286,16.12201245,16.12201245,Extreme,Extreme,Extreme
2376,PAGE BANK,North East,3.55577E+11,Pole Mounted,100,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,SPENNYMOOR 66/20KV,DL16 7QX,Redacted,Not Applicable,423396,535667,1.111049652,0.019393906,Arable and horticulture,0.03,Pasture/Arable,High,Medium,Low,Very low,Very low,,,,,,0.2,0.3,0.6,0,0,0,0.2,0.3,0.6,1.587564505,2.080298007,3.302267245,0,0.5,0.5,0.417512901,1.274089402,2.781360347,Low,Significant,Extreme
3024,BURN STREET,North East,5.91378E+11,Ground Mounted,500,Not Applicable,234,Distribution,Yes,20,0.4,312.5,SPENNYMOOR 66/20KV,DH6 5AN,"DH6 5AR, DH6 5AF, DH6 5AE, DH6 5AL, DH6 5AG, DH6 5QD, DH6 5AS, DH6 5EY, DH6 5PH, DH6 5AN, DH6 5AT, DH6 5EZ, DH6 5EX, DH6 5AU, DH6 5AD, DH6 5AA",Not Applicable,430630,537993,1.071568131,0.018704573,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2932,GREEN LANE TUDHOE,North East,9.68894E+11,Ground Mounted,800,Not Applicable,188,Distribution,Yes,11,0.4,182,LOW SPENNYMOOR,DL16 6HD,"DL16 6HG, DL16 6HH, DL16 6HP, DL16 6HZ, DL16 6HQ, DL16 6JE, DL16 6DF, DL16 6HR, DL16 6HF, DL16 6HJ, DL16 6JQ, DL16 6HW, DL16 6JD, DL16 6HD",Not Applicable,427136,534137,1.07089448,0.018692811,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2171,ESCOMBE SEWAGE,North East,7.20701E+11,Pole Mounted,100,Not Applicable,≤5,Distribution,Yes,20,0.4,Redacted,TORONTO 66/20KV,DL14 7SZ,Redacted,Not Applicable,419151,530221,1.048022151,0.018293477,Improved grassland,0.04,Pasture/Arable,High,Medium,Medium,Low,Low,Very low,Very low,Very low,Very low,Very low,0.2,0.6,1.2,0,0,0,0.2,0.6,1.2,1.156400152,2.405409248,3.818349171,0,0.5,0.5,0.33128003,2.243245549,5.682019005,Low,Significant,Extreme
1041,NEWTON AYCLIFFE KIRKSTONE,North East,8.39391E+11,Ground Mounted,750,Not Applicable,243,Distribution,Yes,11,0.4,250,NEWTON AYCLIFFE SOUTH,DL5 7DW,"DL5 7DL, DL5 7DZ, DL5 7DP, DL5 7DR, DL5 7DS, DL5 7DW, DL5 7DN",Not Applicable,426662,524958,1.040486574,0.018161913,Suburban,0.013,Urban,Low,Low,Low,Low,,Medium,Low,Very low,Very low,Very low,0,0,0.9,0,0.2,0.3,0,0.2,0.9,0,3.545336332,9.663455486,0,0,1,0,0.809067266,10.14710994,,Moderate,Extreme
1871,WOODSIDE DRIFT,North East,3.93022E+11,Pole Mounted,200,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,ANNFIELD 66/20KV,DH8 7PD,Redacted,Not Applicable,413738,548877,1.034837723,0.01806329,Improved grassland,0.04,Pasture/Arable,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,1.149101599,0,0,0,0,0,0.32982032,,,Low
697,RAMSHAW BRIDGE,North East,6.77565E+11,Pole Mounted,100,Not Applicable,33,Distribution,Unknown,20,0.4,239.6,TORONTO 66/20KV,DL14 0NH,"DL14 0QB, DL14 0NL, DL14 0NT, DL14 0NS",Not Applicable,415190,526013,1.015666366,0.017728579,Neutral grassland,0.04,Pasture/Arable,Very low,Very low,Very low,Very low,Very low,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3658,VILLA REAL INDUSTRIAL,North East,54793949664,Ground Mounted,800,Not Applicable,12,Distribution,Yes,20,0.4,115.3,CONSETT,DH8 6SR,"DH8 6SX, DH8 6SR, DH8 6BP, DH8 6ST",Not Applicable,411156,552173,1.013925552,0.017698187,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2107,HIGH THISTLEFLAT,North East,9.94355E+11,Ground Mounted,500,Not Applicable,≤5,Distribution,Yes,20,0.4,Redacted,BRANCEPETH,DL15 8JL,Redacted,Not Applicable,416202,534696,1.012862802,0.017679632,Urban,0.013,Urban,Medium,Medium,Medium,Medium,,Low,,,,,0,0.9,0.9,0,0,0.2,0,0.9,0.9,0,9.534288079,9.534288079,0,1,1,0,10.03085927,10.03085927,,Extreme,Extreme
4079,BEWICKE INDUSTRIAL,North East,3.26913E+11,Pole Mounted,50,Not Applicable,≤5,Distribution,Yes,20,0.4,Redacted,BIRTLEY GROVE 66/20KV,DH2 1BE,Redacted,Not Applicable,425395,556019,1.011400342,0.0176541,Broadleaved woodland,0.1,Woodland,High,High,High,High,Very low,,,,,,0.9,0.9,0.9,0,0,0,0.9,0.9,0.9,1.238562122,1.238562122,1.238562122,1,1,1,2.56470591,2.56470591,2.56470591,Extreme,Extreme,Extreme
1369,STANHOPE HOSTEL,North East,4.26169E+11,Ground Mounted,300,Not Applicable,21,Distribution,Yes,20,0.4,12.9,EASTGATE CEMENT,DL13 2LU,"DL13 2PG, DL13 2LU, DL13 2RY, DL13 2PQ",Not Applicable,399093,539273,0.999971449,0.017454566,Suburban,0.013,Urban,Medium,Medium,Low,Very low,Very low,,,,,,0,0.3,0.6,0,0,0,0,0.3,0.6,0,4.554338966,7.229562466,0,1,1,0,2.51630169,5.63773748,,Extreme,Extreme
1919,LOW MEADOWS,North East,2.97158E+11,Pole Mounted,25,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,ANNFIELD 66/20KV,DH7 0RE,Redacted,Not Applicable,415032,548200,0.981965184,0.017140204,Suburban,0.013,Urban,Very low,Very low,Very low,Very low,Very low,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
594,ST HELENS MELROSE,North East,5.67368E+11,Ground Mounted,315,Not Applicable,155,Distribution,Yes,11,0.4,120.1,FYLANDS BRIDGE,DL14 9DW,"DL14 9EB, DL14 9DY, DL14 9ED, DL14 9DP, DL14 9DW, DL14 9DN, DL14 9EA, DL14 9DX, DL14 9DZ",Not Applicable,418608,526996,0.981590092,0.017133655,Urban,0.013,Urban,,,,,,Medium,Low,Very low,Very low,Very low,0,0,0,0,0.2,0.3,0,0.2,0.3,0,3.443512451,4.512277811,0,0,1,0,0.78870249,2.503683343,,Moderate,Extreme
3601,DAWDON BLAIRWAY CENTRAL,North East,1.54869E+11,Ground Mounted,500,Not Applicable,≤5,Distribution,Yes,20,0.4,Redacted,STONEY CUT,SR7 7TT,Redacted,Not Applicable,443275,548077,0.973739386,0.016996595,Urban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1025,WALWORTH INDUSTRIAL,North East,1.34846E+11,Ground Mounted,800,Not Applicable,≤5,Distribution,Yes,11,0.4,Redacted,NEWTON AYCLIFFE SOUTH,DL5 6XF,Redacted,Not Applicable,427825,523512,0.970472038,0.016939552,Urban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1110,AYCLIFFE WALWORTH,North East,8.44477E+11,Ground Mounted,750,Not Applicable,7,Distribution,Yes,11,0.4,553.5,NEWTON AYCLIFFE SOUTH,DL5 6XF,"DL5 6AY, DL5 6XQ, DL5 6XF",Not Applicable,427824,523518,0.970472038,0.016939552,Urban,0.013,Urban,,,,,,Medium,Very low,Very low,Very low,Very low,0,0,0,0,0.2,0.2,0,0.2,0.2,0,3.42395154,3.42395154,0,0,0,0,0.784790308,0.784790308,,Moderate,Moderate
4011,LOW URPETH,North East,8.1159E+11,Pole Mounted,25,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,BIRTLEY GROVE 66/20KV,DH2 1BD,Redacted,Not Applicable,425741,555468,0.963080049,0.016810501,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3246,DURHAM THREE TUNS,North East,9.37128E+11,Ground Mounted,11,Not Applicable,≤5,Distribution,Yes,11,0.4,Redacted,,DH1 3AQ,Redacted,Not Applicable,427644,542350,0.952960193,0.016633827,Urban,0.013,Urban,Low,Low,Low,Low,Low,Medium,Very low,Very low,Very low,Very low,0,0,1.2,0,0.2,0.2,0,0.2,1.2,0,3.392913073,11.20315213,0,0,1,0,0.778582615,15.04378256,,Moderate,Extreme
1180,FOXTON PLANTATION,North East,78210815530,Pole Mounted,50,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,SKERNESIDE,TS21 2HU,Redacted,Not Applicable,435586,525784,0.949912369,0.016580618,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3140,RYAL BROILER,North East,5.64952E+11,Pole Mounted,200,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,FISHBURN,TS21 3EL,Redacted,Not Applicable,437082,529685,0.945755482,0.016508046,Suburban,0.013,Urban,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,3.380060589,0,0,0,0,0,0.776012118,,,Moderate
3858,COWDIAL TANFIELD,North East,5.97847E+11,Ground Mounted,750,Not Applicable,≤5,Distribution,Yes,11,0.4,Redacted,TANFIELD,DH9 9XS,Redacted,Not Applicable,418766,554300,0.944191396,0.016480741,Urban,0.013,Urban,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,3.377263962,0,0,0,0,0,0.775452792,,,Moderate
918,BARNINGHAM WILSON,North East,4.64105E+11,Pole Mounted,15,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL11 7EB,Redacted,Not Applicable,408283,511848,0.938490093,0.016381207,Suburban,0.013,Urban,,,,,,High,High,Very low,Very low,Very low,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,4.412083963,4.412083963,4.412083963,1,1,1,2.473625189,2.473625189,2.473625189,Significant,Significant,Significant
3646,SHERATON HALL,North East,1.9523E+11,Pole Mounted,50,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,HARTMOOR 66/20KV,TS27 4RD,Redacted,Not Applicable,443735,534798,0.936983883,0.016354912,Suburban,0.013,Urban,,,,,,High,Medium,Very low,Very low,Very low,0,0,0,0.2,0.3,0.3,0.2,0.3,0.3,3.36434673,4.40854137,4.40854137,0,1,1,0.772869346,2.472562411,2.472562411,Moderate,Significant,Significant
3450,THORNDALE ROAD,North East,3.2795E+11,Ground Mounted,500,Not Applicable,141,Distribution,Yes,11,0.4,225,BELMONT,DH1 2AA,"DH1 2AA, DH1 2BU, DH1 2QU, DH1 2AD, DH1 2QS, DH1 2QW, DH1 2QR, DH1 2AT",Not Applicable,430651,543648,0.921254098,0.016080303,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3356,BEANEY LANE,North East,96135201666,Pole Mounted,200,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,POTTER HOUSE T1 T3,DH2 3SL,Redacted,Not Applicable,425860,549084,0.911358416,0.015907547,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
3404,CHILTON LODGE,North East,8.06386E+11,Pole Mounted,16,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,SPENNYMOOR 66/20KV,DL17 0JX,Redacted,Not Applicable,429484,530297,0.907682121,0.015843367,Suburban,0.013,Urban,,,,,,High,Medium,Low,Low,Very low,0,0,0,0.2,0.3,0.9,0.2,0.3,0.9,3.311314158,4.339049041,9.025585718,0,1,1,0.762262832,2.451714712,9.573027146,Moderate,Significant,Extreme
1275,NEWTON AYCLIFFE ASHFIELD,North East,4.85169E+11,Ground Mounted,500,Not Applicable,165,Distribution,Yes,11,0.4,154.6,NEWTON AYCLIFFE SOUTH,DL5 7DB,"DL5 7AT, DL5 7DA, DL5 7AU, DL5 7AS, DL5 7DD, DL5 7AG, DL5 7DB",Not Applicable,426985,524769,0.902412057,0.015751364,Suburban,0.013,Urban,Low,,,,,,,,,,0,0,0.2,0,0,0,0,0,0.2,0,0,3.301685707,0,0,0,0,0,0.760337141,,,Moderate
4076,BARNABAS,North East,1.30802E+11,Ground Mounted,500,Not Applicable,202,Distribution,Yes,11,0.4,177.3,OFFERTON 33/11KV,DH4 6ET,"DH4 6ET, DH4 6HJ, DH4 6EU, DH4 6HG, DH4 6UA, DH4 6HH, DH4 6UB",Not Applicable,430712,551417,0.898747981,0.015687398,Suburban,0.013,Urban,,,,,,Low,Low,Very low,Very low,Very low,0,0,0,0,0,0.3,0,0,0.3,0,0,4.317638485,0,0,1,0,0,2.445291545,,,Significant
2508,LANGLEY BESSEMER,North East,3.46897E+11,Ground Mounted,500,Not Applicable,165,Distribution,Yes,11,0.4,147.7,LOW SPENNYMOOR,DL16 6PL,"DL16 6PL, DL16 6XQ, DL16 6QD, DL16 6NX, DL16 6TS, DL16 6XG, DL16 6PN, DL16 6NY, DL16 6PP",Not Applicable,426385,533890,0.893353164,0.015593218,Suburban,0.013,Urban,,,,,,High,Medium,Very low,Very low,Very low,0,0,0,0.2,0.3,0.3,0.2,0.3,0.3,3.285069155,4.304658358,4.304658358,0,1,1,0.757013831,2.441397507,2.441397507,Moderate,Significant,Significant
2196,NEWTON CAP COLLIERY,North East,8.95147E+11,Ground Mounted,200,Not Applicable,≤5,Distribution,Yes,20,0.4,Redacted,TORONTO 66/20KV,DL14 7SB,Redacted,Not Applicable,420160,530791,0.885343254,0.015453385,Suburban,0.013,Urban,,,,,,Low,Low,,,,0,0,0,0,0,0.3,0,0,0.3,0,0,4.285313767,0,0,1,0,0,2.43559413,,,Significant
2167,DURHAM ROAD WOLSINGHAM,North East,5.56152E+11,Pole Mounted,315,Not Applicable,84,Distribution,Yes,20,0.4,108.9,BRANCEPETH,DL13 3JB,"DL13 3HX, DL13 3JD, DL13 3JB, DL13 3HZ, DL13 3JE, DL13 3JL, DL13 3HT",Not Applicable,408315,537361,0.873483121,0.015246338,Improved grassland,0.04,Pasture/Arable,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4132,CHESTER CRICKET NORTH,North East,4.13118E+11,Ground Mounted,500,Not Applicable,≤5,Distribution,Yes,11,0.4,Redacted,HIGH FLATTS,DH3 3SH,Redacted,Not Applicable,428210,550713,0.864298284,0.015085995,Urban,0.013,Urban,Low,Low,Very low,Very low,Very low,,,,,,0,0,0.3,0,0,0,0,0,0.3,0,0,4.234067705,0,0,1,0,0,2.420220312,,,Significant
3372,BLACKDOWN,North East,7.91318E+11,Ground Mounted,500,Not Applicable,284,Distribution,Yes,11,0.4,283.1,PETERLEE WEST,SR8 2JP,"SR8 2JR, SR8 2LQ, SR8 2LP, SR8 2JN, SR8 2LW, SR8 2NQ, SR8 2JL, SR8 2JT, SR8 2LH, SR8 2LL, SR8 2LR, SR8 2JS, SR8 2LJ, SR8 2LN, SR8 2JP, SR8 2NB, SR8 2JW",Not Applicable,441525,540434,0.86307317,0.015064608,Suburban,0.013,Urban,,,,,,High,Medium,Very low,Very low,Very low,0,0,0,0.2,0.3,0.3,0.2,0.3,0.3,3.228907187,4.231065362,4.231065362,0,1,1,0.745781437,2.419319609,2.419319609,Low,Significant,Significant
2310,SHINCLIFFE PUMPS,North East,71229963538,Pole Mounted,200,Not Applicable,≤5,Distribution,Unknown,11,0.4,Redacted,BELMONT,DH1 2SU,Redacted,Not Applicable,429363,541390,0.860817432,0.015025229,"Fen, marsh and swamp",0.04,Pasture/Arable,Low,Low,Low,Very low,Very low,,,,,,0,0,0.6,0,0,0,0,0,0.6,0,0,2.179974392,0,0,0.5,0,0,2.107984635,,,Significant
2524,MEADOWFIELD LAUNDRY,North East,7.20567E+11,Ground Mounted,500,Not Applicable,≤5,Distribution,Unknown,11,0.4,Redacted,MEADOWFIELD,DH7 8XL,Redacted,Not Applicable,425274,539061,0.852410376,0.014878465,Urban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1095,AYCLIFFE LOWERY,North East,7.69668E+11,Ground Mounted,500,Not Applicable,260,Distribution,Yes,11,0.4,195.9,NEWTON AYCLIFFE SOUTH,DL5 5JJ,"DL5 5HH, DL5 5JX, DL5 5HJ, DL5 5JU, DL5 5JP, DL5 5JN, DL5 5JS, DL5 5JW, DL5 5JR",Not Applicable,427246,524490,0.848632932,0.014812522,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1149,STATION HOUSE,North East,5.55248E+11,Pole Mounted,50,Not Applicable,≤5,Distribution,Unknown,20,0.4,Redacted,SKERNESIDE,TS21 2EP,Redacted,Not Applicable,433127,528401,0.830571175,0.014497217,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
