OBJECTID,Site_Name,DNO_Area,Substation_ID,Site_Type,Transformer_Rating__kVA_,Firm_Capacity__MVA_,Customer_Numbers,Site_Level,Three_Phase_,Primary_Voltage__kV_,Secondary_Voltage__kV_,Maximum_Demand__kW_,Upstream_Substation,Postcode,Postcodes_Fed,Postal_Sectors_Fed,Eastings,Northings,slope,slope_dimensionless,class,mannings,df_class,rofrs_0_2m,rofrs_0_3m,rofrs_0_6m,rofrs_0_9m,rofrs_1_2m,rofsw_0_2m,rofsw_0_3m,rofsw_0_6m,rofsw_0_9m,rofsw_1_2m,rofrs_high,rofrs_med,rofrs_low,rofsw_high,rofsw_med,rofsw_low,rof_high,rof_med,rof_low,velocity_high,velocity_med,velocity_low,df_high,df_med,df_low,hazard_high,hazard_med,hazard_low,degree_high,degree_med,degree_low
4034,SCORERS LANE,North East,4.20957E+11,Pole Mounted,200,Not Applicable,46,Distribution,No,11,0.4,39.6,OFFERTON 33/11KV,DH3 4LU,"DH3 4HF, DH3 4HA, DH3 4EY, DH3 3YH, DH3 4HB, DH3 4HD, DH3 4LU",Not Applicable,429662,550345,1.598087549,0.027899125,Suburban,0.013,Urban,,,,,,High,High,Very low,Very low,Very low,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,5.757926356,5.757926356,5.757926356,1,1,1,2.877377907,2.877377907,2.877377907,Extreme,Extreme,Extreme
1239,RUSHYFORD LOWFIELD,North East,6.84421E+11,Pole Mounted,50,Not Applicable,10,Distribution,Unknown,20,0.4,19.4,SKERNESIDE,DL17 0NL,DL17 0NL,Not Applicable,428868,528117,1.590423346,0.027765255,Improved grassland,0.04,Pasture/Arable,,,,,,Low,,,,,0,0,0,0,0,0.2,0,0,0.2,0,0,1.424658725,0,0,0,0,0,0.384931745,,,Low
2555,HEATH VIEW,North East,6.91394E+11,Pole Mounted,50,Not Applicable,18,Distribution,Unknown,20,0.4,29.6,HARTMOOR 66/20KV,TS28 5EZ,"TS28 5EE, TS28 5ED, TS28 5EZ",Not Applicable,441309,536583,1.577677608,0.02754263,Arable and horticulture,0.03,Pasture/Arable,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1182,HACKWORTH AUCKLAND,North East,6.86963E+11,Ground Mounted,500,Not Applicable,≤5,Distribution,Yes,11,0.4,Redacted,FYLANDS BRIDGE,DL4 1HG,Redacted,Not Applicable,422314,525577,1.57164681,0.027437293,Urban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
568,WEST AUCKLAND MEADOW,North East,4.68221E+11,Ground Mounted,500,Not Applicable,276,Distribution,Yes,11,0.4,313.3,FYLANDS BRIDGE,DL14 9HB,"DL14 9HG, DL14 9JF, DL14 9EZ, DL14 9HS, DL14 9HH, DL14 9JE, DL14 9EX, DL14 9HA, DL14 9HE, DL14 9JG, DL14 9HD, DL14 9HB, DL14 9HN",Not Applicable,418400,526552,1.565424204,0.027328607,Suburban,0.013,Urban,Very low,Very low,Very low,Very low,Very low,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1186,NEWTON AYCLIFFE DALTON,North East,39376670570,Ground Mounted,500,Not Applicable,38,Distribution,Yes,11,0.4,132.5,AYCLIFFE INDUSTRIAL,DL5 4DZ,"DL5 4DZ, DL5 6UJ, DL5 4PD, DL5 5QG, DL5 4EB, DL5 5RT, DL5 4ED, DL5 4EE, DL5 4, DL5 5QH, DL5 4DJ, DL5 4SB",Not Applicable,427801,525088,1.561448097,0.027259159,Urban,0.013,Urban,,,,,,High,High,Low,Very low,Very low,0,0,0,0.3,0.3,0.6,0.3,0.3,0.6,5.691503995,5.691503995,9.034699428,1,1,1,2.857451198,2.857451198,6.720819657,Extreme,Extreme,Extreme
3273,FINCHALE BANKS,North East,7.13433E+11,Pole Mounted,100,Not Applicable,12,Distribution,No,11,0.4,27.7,POTTER HOUSE T1 T3,DH4 6QP,"DH4 6QP, DH4 6QN, DH4 6QW",Not Applicable,430382,546985,1.554439545,0.027136746,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
4050,HILDA PARK,North East,2.55977E+11,Ground Mounted,500,Not Applicable,287,Distribution,Yes,11,0.4,231.2,HIGH FLATTS,DH2 2JP,"DH2 2JP, DH2 2JX, DH2 2JU, DH2 2LW, DH2 2LP, DH2 2LG, DH2 2LQ, DH2 2LS, DH2 2LT, DH2 2JR, DH2 2JS, DH2 2JY, DH2 2LR",Not Applicable,426587,552092,1.543263316,0.026941542,Suburban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2266,CASTLESIDE CONSETT,North East,2.33361E+11,Ground Mounted,800,Not Applicable,≤5,Distribution,Yes,20,0.4,Redacted,CONSETT,DH8 8ET,Redacted,Not Applicable,408886,549108,1.511819243,0.026392349,Urban,0.013,Urban,,,,,,Low,Very low,Very low,Very low,Very low,0,0,0,0,0,0.2,0,0,0.2,0,0,4.273814482,0,0,0,0,0,0.954762896,,,Moderate
4031,COOP CHESTER,North East,6.71596E+11,Ground Mounted,800,Not Applicable,45,Distribution,Yes,11,0.4,337.5,HIGH FLATTS,DH3 3EX,"DH3 3YJ, DH3 3YQ",Not Applicable,427297,551455,1.510799885,0.026374545,Suburban,0.013,Urban,,,,,,Low,Low,Low,Very low,Very low,0,0,0,0,0,0.6,0,0,0.6,0,0,8.886893422,0,0,1,0,0,6.632136053,,,Extreme
