objectid,site_name,dno_area,substation_id,site_type,transformer_rating__kva,firm_capacity__mva,customer_numbers,customer_numbers_filtered,site_level,three_phase,primary_voltage__kv_,secondary_voltage__kv_,maximum_demand__kw_,upstream_substation,postcode,postcodes_fed,postal_sectors_fed,eastings,northings,slope,slope_dimensionless,twi,spi,class,mannings,df_class,rofrs_0_2m,rofrs_0_3m,rofrs_0_6m,rofrs_0_9m,rofrs_1_2m,rofsw_0_2m,rofsw_0_3m,rofsw_0_6m,rofsw_0_9m,rofsw_1_2m,rofrs_high,rofrs_med,rofrs_low,rofsw_high,rofsw_med,rofsw_low,rof_high,rof_med,rof_low,velocity_high,velocity_med,velocity_low,df_high,df_med,df_low,hazard_high,hazard_med,hazard_low,degree_high,degree_med,degree_low,degree_high_class,degree_med_class,degree_low_class,degree_high_norm,degree_med_norm,degree_low_norm,twi_class,twi_class_norm,spi_class,spi_class_norm,combined_norm,site_type_class_high,site_type_class_med,site_type_class_low,site_type_norm_high,site_type_norm_med,site_type_norm_low,customers_class,customers_class_norm,high,med,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,EGGLESHOPE,North East,4.4825E+11,Pole Mounted,50,Not Applicable,15,15,Distribution,No,20,0.4,20.8,HARMIRE BRIDGE,DL12 0AR,"DL12 0AR, DL12 0AW, DL12 0AN",Not Applicable,399547,524241,5.152287483,0.090167555,5.401817799,1.803351045,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,3,0.5,0.25,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,EGGLESTON BELL,North East,8.12195E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0BA,Redacted,Not Applicable,398346,524947,3.536977291,0.061810436,5.086268425,0.618104339,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,2,0.25,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,EGGLESTON BURN,North East,8.32796E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0BD,Redacted,Not Applicable,398873,524040,10.20133495,0.179952453,4.710794926,3.599049091,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,4,0.75,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,EGGLESTON HALL,North East,6.60659E+11,Pole Mounted,100,Not Applicable,25,25,Distribution,No,20,0.4,14.4,HARMIRE BRIDGE,DL12 0AG,"DL12 0AE, DL12 0TA, DL12 9EQ, DL12 0AG, DL12 0AQ",Not Applicable,399703,523374,4.906557083,0.085845527,12.91487503,2994.291748,Broadleaved woodland,0.1,Woodland,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,5,1,1,,,,,,,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,EGGLESTON MIDDLE END,North East,1.81819E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0SA,Redacted,Not Applicable,398680,528779,3.983439445,0.069636368,6.91296339,4.874545574,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,4,0.75,0.75,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,EGGLESTON NORTH,North East,6.66235E+11,Pole Mounted,100,Not Applicable,28,28,Distribution,No,20,0.4,41.1,HARMIRE BRIDGE,DL12 0AU,"DL12 0AU, DL12 0AT",Not Applicable,399538,524413,3.017450094,0.052713182,7.037234306,3.162791014,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,4,0.75,0.75,,,,,,,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ETTERSGILL,North East,9.70856E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,EASTGATE CEMENT,DL12 0XG,Redacted,Not Applicable,389151,528724,4.098415375,0.071653092,6.73026371,4.299185276,Calcareous grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,4,0.75,0.625,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ETTERSGILL BRIDGE,North East,5.23543E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,EASTGATE CEMENT,DL12 0XG,Redacted,Not Applicable,389263,528696,14.67030621,0.261791241,3.64279294,2.617912292,Calcareous grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,3,0.5,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ETTERSGILL DIRT,North East,9.25594E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Yes,20,0.4,Redacted,EASTGATE CEMENT,DL12 0XG,Redacted,Not Applicable,389086,528974,15.67567539,0.28062929,5.182743549,14.03146362,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,5,1,0.5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,FOLLY HEAD,North East,5.9515E+11,Pole Mounted,100,Not Applicable,18,18,Distribution,No,20,0.4,23.9,HARMIRE BRIDGE,DL12 0DH,"DL12 0DJ, DL12 0DH, DL12 0DQ",Not Applicable,400917,522999,9.971727371,0.175818233,5.427184105,7.032728672,Calcareous grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,4,0.75,0.5,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
