objectid,site_name,dno_area,substation_id,site_type,transformer_rating__kva,firm_capacity__mva,customer_numbers,customer_numbers_filtered,site_level,three_phase,primary_voltage__kv_,secondary_voltage__kv_,maximum_demand__kw_,upstream_substation,postcode,postcodes_fed,postal_sectors_fed,eastings,northings,slope,slope_dimensionless,twi,spi,class,mannings,df_class,rofrs_0_2m,rofrs_0_3m,rofrs_0_6m,rofrs_0_9m,rofrs_1_2m,rofsw_0_2m,rofsw_0_3m,rofsw_0_6m,rofsw_0_9m,rofsw_1_2m,rofrs_high,rofrs_med,rofrs_low,rofsw_high,rofsw_med,rofsw_low,rof_high,rof_med,rof_low,velocity_high,velocity_med,velocity_low,df_high,df_med,df_low,hazard_high,hazard_med,hazard_low,degree_high,degree_med,degree_low,degree_high_class,degree_med_class,degree_low_class,degree_high_norm,degree_med_norm,degree_low_norm,twi_class,twi_class_norm,spi_class,spi_class_norm,combined_norm,site_type_class_high,site_type_class_med,site_type_class_low,site_type_norm_high,site_type_norm_med,site_type_norm_low,customers_class,customers_class_norm,high,med,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,HIGH GORDON,North East,40009644674,Pole Mounted,15,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,TORONTO 66/20KV,DL13 5BQ,Redacted,Not Applicable,413368,526241,1.37130022,0.023938275,6.034861565,0.239382744,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,1,0,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,HIGH MOOR (DAR),North East,3.89153E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,SKERNESIDE,DL2 3HU,Redacted,Not Applicable,416022,521030,2.17538476,0.037985881,5.573125839,0.379858792,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,1,0,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,HIGH STAINDROP,North East,9.72793E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,TORONTO 66/20KV,DL14 9PB,Redacted,Not Applicable,416746,524680,4.770079613,0.083446478,5.479282379,1.668929458,Arable and horticulture,0.03,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,3,0.5,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,HIGH STONECHESTER,North East,5.2768E+11,Pole Mounted,7.5,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,TORONTO 66/20KV,DL13 3NG,Redacted,Not Applicable,412971,528957,5.819952011,0.101928129,4.586072445,1.019281268,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,2,0.25,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,HIGH TOFT,North East,2.99137E+11,Pole Mounted,50,Not Applicable,6,6,Distribution,Unknown,20,0.4,79,TORONTO 66/20KV,DL14 0PE,"DL14 0PE, DL14 0",Not Applicable,414602,527748,1.866764307,0.032592717,5.726251602,0.325927168,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,1,0,0.125,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,HIGH WETHER,North East,4.88738E+11,Pole Mounted,16,Not Applicable,?5,,Distribution,No,11,0.4,Redacted,TORONTO 66/20KV,DL14 0LY,Redacted,Not Applicable,414263,528922,1.445408702,0.025232494,7.36850214,1.009299755,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,2,0.25,0.5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,HILLINGDON,North East,1.14107E+11,Pole Mounted,15,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 8SA,Redacted,Not Applicable,406142,521587,0.532999635,0.009302867,6.980017662,0.093028665,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,1,0,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,HILTON CLOSE,North East,5.47059E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,SKERNESIDE,DL2 3JD,Redacted,Not Applicable,416804,521243,3.090318441,0.053988595,7.524152756,5.398859501,Arable and horticulture,0.03,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,4,0.75,0.75,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,HILTON MOOR,North East,6.13666E+11,Pole Mounted,16,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,TORONTO 66/20KV,DL14 9NR,Redacted,Not Applicable,416530,523350,2.879232883,0.050294437,6.391057968,1.508833051,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,3,0.5,0.5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,HILTON VILLAGE,North East,72290201501,Pole Mounted,100,Not Applicable,20,20,Distribution,No,20,0.4,34.2,SKERNESIDE,DL2 3JA,DL2 3JA,Not Applicable,416591,521869,4.127287388,0.07215961,6.030072212,2.164788246,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,3,0.5,0.375,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,HINDBERRIES,North East,7.16078E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,SKERNESIDE,DL2 2UR,Redacted,Not Applicable,418133,522539,3.009057045,0.05256629,7.327706814,4.205303192,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,4,0.75,0.75,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,HOLLIN HALL,North East,2.04203E+11,Pole Mounted,50,Not Applicable,6,6,Distribution,Yes,20,0.4,Redacted,SKERNESIDE,DL2 3EX,#N/A,Not Applicable,417179,518103,12.82014465,0.227564194,4.881520271,6.826926231,Arable and horticulture,0.03,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,4,0.75,0.375,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,HUTTON MAGNA,North East,9.21881E+11,Pole Mounted,100,Not Applicable,46,46,Distribution,Unknown,20,0.4,44.9,HARMIRE BRIDGE,DL11 7HH,"DL11 7HL, DL11 7HQ, DL11 7HH, DL11 7HJ, DL11 7HN",Not Applicable,412632,512521,0.900067151,0.015710428,8.758601189,1.571042776,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,3,0.5,0.75,,,,,,,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,HUTTON MAGNA PIGGERY,North East,6.38602E+11,Pole Mounted,100,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL11 7HN,Redacted,Not Applicable,412238,510937,5.936007023,0.103975141,6.175626278,5.198757172,Arable and horticulture,0.03,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,4,0.75,0.625,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,INGLETON PINDER,North East,2.4946E+11,Pole Mounted,7,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,SKERNESIDE,DL2 3HG,Redacted,Not Applicable,417021,519947,2.529012442,0.044168282,6.115480423,0.883365631,Urban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,2,0.25,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,JOBS LODGE,North East,3.92386E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,TORONTO 66/20KV,DL13 5NJ,Redacted,Not Applicable,405717,526549,1.936083674,0.033803902,6.382911205,0.676078081,Acid grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,2,0.25,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,KEVERSTONE SW,North East,3.24439E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,11,0.4,Redacted,TBC,DL2 3AW,Redacted,Not Applicable,414175,522465,1.678257108,0.029299492,9.593970299,12.59878159,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,5,1,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,KEVERSTONE TRANSMITTER,North East,8.6938E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,TORONTO 66/20KV,DL2 3AL,Redacted,Not Applicable,414179,522623,12.82284069,0.227613686,4.881302834,6.828410625,Broadleaved woodland,0.1,Woodland,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,4,0.75,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,KINNINVIE,North East,5.56559E+11,Pole Mounted,25,Not Applicable,6,6,Distribution,No,20,0.4,10.6,HARMIRE BRIDGE,DL12 8SH,"DL12 8SH, DL12 8SG, DL12 8SQ",Not Applicable,405121,521852,2.605416298,0.045504462,7.001967907,2.275223017,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,3,0.5,0.625,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,LAMB HILL,North East,6.3518E+11,Pole Mounted,15,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 8QU,Redacted,Not Applicable,404730,520673,2.57627821,0.044994865,6.096939087,0.899897277,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,2,0.25,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,LANGTON GRANGE (DAR),North East,1.82203E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,SKERNESIDE,DL2 3HX,Redacted,Not Applicable,415593,519951,6.808694839,0.119396695,6.730473995,11.93966961,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,5,1,0.75,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,LARTINGTON,North East,913012071,Pole Mounted,100,Not Applicable,33,33,Distribution,Yes,20,0.4,41.5,HARMIRE BRIDGE,DL12 9BP,"DL12 9DA, DL12 9BP, DL12 9BW",Not Applicable,401958,517807,9.110261917,0.160357753,5.924692631,9.621464729,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,4,0.75,0.5,,,,,,,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,LARTINGTON CABIN,North East,8.46854E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9BW,Redacted,Not Applicable,401984,518476,1.926520467,0.033636803,8.092615128,3.700048208,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,4,0.75,0.875,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,LARTINGTON CARAVAN,North East,4.87084E+11,Pole Mounted,200,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9DG,Redacted,Not Applicable,402871,516756,1.949885011,0.034045058,6.781267643,1.021351695,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,2,0.25,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,LARTINGTON HOME,North East,8.88E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9BW,Redacted,Not Applicable,402001,518088,1.662487745,0.029024031,5.842216492,0.290240288,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,1,0,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,LARTINGTON LANE,North East,1.2963E+11,Ground Mounted,500,Not Applicable,?5,,Distribution,Yes,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9BD,Redacted,Not Applicable,403925,516791,1.286449432,0.022456552,9.043196678,4.266744614,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,4,0.75,0.875,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,LARTINGTON PECKNELL,North East,4.72795E+11,Pole Mounted,100,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 9DF,Redacted,Not Applicable,403026,517712,1.219815612,0.021293016,7.943720818,1.277580976,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,3,0.5,0.625,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,LINBURN HEAD,North East,8.70996E+11,Pole Mounted,16,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,TORONTO 66/20KV,DL13 5NH,Redacted,Not Applicable,406910,527667,2.446397066,0.04272365,9.262249947,19.22564125,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,5,1,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,LOW GARTH,North East,1.32346E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,TORONTO 66/20KV,DL14 0NB,Redacted,Not Applicable,415368,527111,2.642514944,0.046153315,11.65124893,244.6125793,Arable and horticulture,0.03,Pasture/Arable,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,5,1,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,LOW SHIPLEY,North East,1.52246E+11,Pole Mounted,100,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 8RL,Redacted,Not Applicable,401720,520357,2.997658491,0.0523668,5.945214748,1.047335982,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,2,0.25,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,LOW STONECHESTER,North East,5.98462E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,TORONTO 66/20KV,DL13 3NG,Redacted,Not Applicable,412751,529285,2.79088068,0.048748618,6.42227602,1.462458491,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,3,0.5,0.5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,LOW WETHER,North East,1.69345E+11,Pole Mounted,8,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,TORONTO 66/20KV,DL14 0LY,Redacted,Not Applicable,414236,529272,2.159479856,0.03770789,5.580471039,0.377078891,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,1,0,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,MARWOOD CROSSING,North East,3.93546E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,HARMIRE BRIDGE,DL12 8RP,Redacted,Not Applicable,405732,518803,5.616667747,0.09834457,5.315010071,1.966891408,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,3,0.5,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,MARWOOD GREEN,North East,7.22878E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Yes,20,0.4,Redacted,HARMIRE BRIDGE,DL12 8SB,Redacted,Not Applicable,405144,522136,2.626283169,0.045869418,11.45296764,198.1558838,Improved grassland,0.04,Pasture/Arable,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,5,1,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,MARWOOD HILL,North East,21689274490,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 0DW,Redacted,Not Applicable,401706,522297,9.594039917,0.169030343,4.773409367,3.380606651,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,4,0.75,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,MARWOOD ROSEMEAD,North East,3.76798E+11,Pole Mounted,100,Not Applicable,?5,,Distribution,Yes,20,0.4,Redacted,TBC,DL12 8QN,Redacted,Not Applicable,405508,518078,3.214926958,0.056170023,6.280569553,1.685100555,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,3,0.5,0.5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,MOOR ROW,North East,3.28275E+11,Pole Mounted,75,Not Applicable,6,6,Distribution,No,20,0.4,Redacted,SKERNESIDE,DL11 7UE,DL11 7UE,Not Applicable,415540,515590,0.925477982,0.016154043,7.526782513,0.484621257,Arable and horticulture,0.03,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,2,0.25,0.5,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,MOOR ROW SOUTH,North East,9.4379E+11,Pole Mounted,100,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,SKERNESIDE,DL11 7UD,Redacted,Not Applicable,415103,515390,3.04770875,0.053242778,7.027237892,3.194566488,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,4,0.75,0.75,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,MOUNT EFF,North East,1.22573E+11,Pole Mounted,100,Not Applicable,12,12,Distribution,Unknown,20,0.4,21.6,HARMIRE BRIDGE,DL12 8UP,"DL12 8UR, DL12 8UP",Not Applicable,407165,515687,0.168034673,0.002932767,11.130126,0.586553335,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,2,0.25,0.625,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,NETTLEBED,North East,54200192139,Pole Mounted,50,Not Applicable,6,6,Distribution,Unknown,20,0.4,13.2,TORONTO 66/20KV,DL14 0PS,"DL14 0PS, DL14 0PR",Not Applicable,413617,527795,1.057743669,0.018463207,6.294560432,0.184632078,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.5,1,0,0.25,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,NEW RABY,North East,7.79436E+11,Pole Mounted,50,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL2 3NX,Redacted,Not Applicable,414029,521522,2.430789948,0.04245076,5.461995602,0.424507588,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,1,0,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,SOUTH CHURCH TEESCRAFT,Yorkshire,8.86664E+11,Ground Mounted,1000,Not Applicable,?5,,Distribution,Yes,11,0.4,Redacted,FYLANDS BRIDGE,DL14 6XB,Redacted,Not Applicable,421329,527962,0.154562712,0.002697635,8.911111832,0.053952694,Urban,0.013,Urban,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,1,0,0.5,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,HARMIRE PUMPS,North East,1.98562E+11,Pole Mounted,15,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,HARMIRE BRIDGE,DL12 8QN,Redacted,Not Applicable,405341,518060,0.481900513,0.008410949,9.38339138,0.841094911,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,2,0.25,0.625,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,HEADLAM (DAR),North East,2.46927E+11,Pole Mounted,100,Not Applicable,20,20,Distribution,Unknown,20,0.4,44.7,SKERNESIDE,DL2 3HA,DL2 3HA,Not Applicable,417808,519061,2.784281254,0.048633163,5.326034546,0.486331612,Suburban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,2,0.25,0.125,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,HEADLAM HOTEL,North East,16121749742,Ground Mounted,500,Not Applicable,?5,,Distribution,Yes,20,0.4,Redacted,SKERNESIDE,DL2 3HA,Redacted,Not Applicable,418112,518854,3.225003481,0.056346448,5.871968269,1.126928926,Urban,0.013,Urban,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,2,0.25,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,HEADLAM SEWAGE,North East,9.84719E+11,Pole Mounted,100,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,SKERNESIDE,DL2 3HA,Redacted,Not Applicable,417888,518813,0.447725862,0.00781445,7.154366016,0.078144491,Broadleaved woodland,0.1,Woodland,Very low,Very low,Very low,Very low,Very low,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,4,0.75,1,0,0.375,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,HECKLEYWOOD,North East,9.96324E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,No,20,0.4,Redacted,TORONTO 66/20KV,DL14 0AA,Redacted,Not Applicable,417762,529426,4.907295227,0.085858505,4.757639885,0.858585,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,2,0.25,0.125,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,HEDGEHOLME,North East,9.58496E+11,Pole Mounted,25,Not Applicable,?5,,Distribution,Unknown,20,0.4,Redacted,SKERNESIDE,DL2 3RS,Redacted,Not Applicable,414511,516430,0.605624437,0.010570534,15.83984184,845.9598999,Improved grassland,0.04,Pasture/Arable,,,,,,Very low,Very low,Very low,Very low,Very low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,5,1,1,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,HEDRICK CARAVAN,North East,7.21829E+11,Pole Mounted,200,Not Applicable,?5,,Distribution,Yes,20,0.4,Redacted,HARMIRE BRIDGE,DL12 8QX,Redacted,Not Applicable,405682,521099,5.288096428,0.092557655,5.375655651,1.851153135,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,0,3,0.5,0.25,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,ABBOTTS HOUSE,North East,4.32939E+11,Pole Mounted,25,Not Applicable,6,6,Distribution,Unknown,20,0.4,7.7,TORONTO 66/20KV,DL13 5JA,"DL13 5HZ, DL13 5JB, DL13 5JA",Not Applicable,411844,525835,5.072629452,0.088766132,8.767386436,50.59669876,Improved grassland,0.04,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,5,1,5,1,1,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,ARLAW BANKS FARM,North East,1.12802E+11,Pole Mounted,50,Not Applicable,6,6,Distribution,No,20,0.4,47.5,HARMIRE BRIDGE,DL12 8TT,DL2 3PX,Not Applicable,409316,516714,2.183471918,0.038127233,5.569411755,0.381272316,Arable and horticulture,0.03,Pasture/Arable,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,2,0.25,1,0,0.125,,,,,,,2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
